src,des,size,timestamp
112.48.151.253,172.16.1.15,148,1590028019.879250
172.16.1.15,112.48.151.253,192,1590028019.884403
112.48.151.253,172.16.1.15,148,1590028019.886062
106.11.93.24,172.16.1.15,152,1590028019.889237
172.16.1.15,106.11.93.24,96,1590028019.892570
112.48.151.253,172.16.1.15,1568,1590028019.895940
112.48.151.253,172.16.1.15,1568,1590028019.903204
172.16.1.15,112.48.151.253,88,1590028019.912631
112.48.151.253,172.16.1.15,1568,1590028019.919237
112.48.151.253,172.16.1.15,1300,1590028019.922608
172.16.1.15,112.48.151.253,88,1590028019.926049
112.48.151.253,172.16.1.15,1568,1590028019.935942
112.48.151.253,172.16.1.15,1568,1590028019.946118
172.16.1.15,112.48.151.253,88,1590028019.949451
112.48.151.253,172.16.1.15,1568,1590028019.953130
112.48.151.253,172.16.1.15,1568,1590028019.959467
172.16.1.15,112.48.151.253,88,1590028019.962648
112.48.151.253,172.16.1.15,616,1590028019.970842
112.48.151.253,172.16.1.15,1568,1590028020.126900
112.48.151.253,172.16.1.15,768,1590028020.791700
